Date,Open,High,Low,Close,Adj Close,Volume
2022-05-25,5.190000,5.750000,5.190000,5.600000,5.600000,143000
2022-05-26,5.260000,6.640000,4.820000,6.000000,6.000000,328600
2022-05-27,5.900000,6.190000,4.860000,5.000000,5.000000,250100
2022-05-31,4.820000,5.150000,4.420000,4.740000,4.740000,256600
2022-06-01,4.610000,4.900000,4.560000,4.750000,4.750000,92900
2022-06-02,4.760000,5.200000,4.750000,5.200000,5.200000,124200
2022-06-03,5.110000,5.110000,4.750000,4.820000,4.820000,84200
2022-06-06,4.850000,4.960000,4.250000,4.350000,4.350000,117400
2022-06-07,4.410000,5.080000,4.162000,4.810000,4.810000,306200
2022-06-08,4.850000,5.700000,4.680000,5.700000,5.700000,330600
2022-06-09,5.570000,5.920000,4.510000,4.550000,4.550000,342800
2022-06-10,4.360000,4.500000,3.900000,3.980000,3.980000,272300
2022-06-13,3.880000,4.095000,3.520000,3.840000,3.840000,214900
2022-06-14,3.840000,3.840000,3.270000,3.450000,3.450000,228100
2022-06-15,3.510000,3.740000,3.210000,3.600000,3.600000,383900
2022-06-16,3.380000,3.490000,3.030000,3.050000,3.050000,803400
2022-06-17,1.550000,1.650000,1.400000,1.480000,1.480000,7071000
2022-06-21,1.505000,1.530000,1.410000,1.440000,1.440000,1610300
2022-06-22,1.390000,1.440000,1.340000,1.380000,1.380000,1012100
2022-06-23,1.410000,1.810000,1.410000,1.740000,1.740000,6579100
2022-06-24,3.070000,3.950000,2.660000,2.700000,2.700000,177576100
2022-06-27,2.570000,3.180000,2.400000,2.950000,2.950000,25324200
2022-06-28,2.640000,2.950000,2.470000,2.850000,2.850000,7039600
2022-06-29,2.560000,2.619000,2.260000,2.420000,2.420000,3978200
2022-06-30,2.230000,2.350000,2.010000,2.230000,2.230000,1837000
2022-07-01,2.130000,2.250000,1.930000,1.960000,1.960000,1520700
2022-07-05,1.970000,2.000000,1.780000,1.880000,1.880000,1343200
2022-07-06,1.860000,2.110000,1.860000,2.040000,2.040000,1154300
2022-07-07,2.000000,2.100000,1.960000,1.990000,1.990000,692100
2022-07-08,2.050000,2.100000,1.980000,2.020000,2.020000,604200
2022-07-11,2.750000,2.870000,2.420000,2.570000,2.570000,49086000
2022-07-12,2.490000,2.600000,2.280000,2.510000,2.510000,3030100
2022-07-13,2.420000,2.430000,2.110000,2.170000,2.170000,1468500
2022-07-14,2.160000,2.410000,2.100000,2.390000,2.390000,4595700
2022-07-15,2.880000,3.230000,2.500000,2.640000,2.640000,21298600
2022-07-18,2.650000,2.830000,2.580000,2.680000,2.680000,3521900
2022-07-19,2.670000,3.220000,2.600000,3.080000,3.080000,7923000
2022-07-20,3.420000,5.180000,3.370000,4.190000,4.190000,59885000
2022-07-21,4.980000,5.770000,4.640000,5.720000,5.720000,76555300
2022-07-22,6.330000,9.350000,5.860000,7.980000,7.980000,139236100
2022-07-25,5.990000,6.230000,5.400000,5.880000,5.880000,26976900
2022-07-26,5.460000,5.900000,5.250000,5.410000,5.410000,7911400
2022-07-27,5.200000,5.230000,4.080000,4.580000,4.580000,9934200
2022-07-28,5.950000,6.640000,5.550000,5.860000,5.860000,70708000
2022-07-29,7.080000,8.960000,6.600000,7.090000,7.090000,79747000
2022-08-01,8.290000,9.589000,8.060000,8.640000,8.640000,42912900
2022-08-02,8.110000,8.500000,7.300000,8.030000,8.030000,8916100
2022-08-03,7.540000,8.450000,7.500000,7.680000,7.680000,5834600
2022-08-04,7.300000,7.630000,6.570000,6.570000,6.570000,3893400
2022-08-05,7.390000,7.400000,6.360000,6.620000,6.620000,3939200
2022-08-08,7.220000,7.520000,6.770000,7.200000,7.200000,6870900
2022-08-09,7.070000,7.100000,6.500000,6.520000,6.520000,1737000
2022-08-10,6.500000,6.740000,6.070000,6.510000,6.510000,2044000
2022-08-11,6.670000,7.320000,6.200000,6.230000,6.230000,3240800
2022-08-12,6.300000,6.300000,5.350000,5.440000,5.440000,2517500
2022-08-15,5.000000,5.130000,4.700000,4.810000,4.810000,5555000
2022-08-16,4.710000,5.150000,4.555000,4.760000,4.760000,7496300
2022-08-17,4.650000,5.630000,4.580000,5.280000,5.280000,9763400
2022-08-18,5.110000,5.350000,4.810000,5.060000,5.060000,4191600
2022-08-19,5.250000,5.300000,4.700000,4.850000,4.850000,3556300
2022-08-22,4.340000,4.500000,4.060000,4.140000,4.140000,2604200
2022-08-23,3.970000,3.990000,3.700000,3.750000,3.750000,2119300
2022-08-24,4.250000,4.480000,3.800000,3.810000,3.810000,5275100
2022-08-25,3.760000,3.950000,3.610000,3.690000,3.690000,1383300
2022-08-26,3.600000,3.648000,3.340000,3.410000,3.410000,1251500
2022-08-29,3.280000,3.439000,3.175000,3.180000,3.180000,1039400
2022-08-30,3.310000,3.440000,2.920000,3.080000,3.080000,2557600
2022-08-31,3.100000,3.100000,2.900000,2.940000,2.940000,1308700
2022-09-01,3.030000,3.030000,2.720000,2.790000,2.790000,782900
2022-09-02,2.870000,2.870000,2.600000,2.620000,2.620000,746300
2022-09-06,2.570000,2.620000,2.340000,2.400000,2.400000,1825900
2022-09-07,2.440000,2.840000,2.390000,2.630000,2.630000,4901100
2022-09-08,2.550000,3.030000,2.460000,3.000000,3.000000,3169900
2022-09-09,2.970000,3.090000,2.690000,2.820000,2.820000,3957500
2022-09-12,2.750000,3.005000,2.710000,2.850000,2.850000,1651100
2022-09-13,2.720000,2.780000,2.650000,2.650000,2.650000,843200
2022-09-14,2.610000,2.650000,2.500000,2.580000,2.580000,872400
